중산도면,단가,수량,영업납기,선급
050060,6498,1,2021-03-18,1
050060,6498,1,2021-01-23,0
050060,6498,2,2021-01-31,0
050093,15483,4,2021-09-23,0
050093,15483,30,2021-03-15,1
050093,15483,60,2021-12-16,0
050095,6498,3,2021-04-17,0
050095,6498,5,2021-06-13,0
050095,6498,10,2021-08-20,0
050105,6498,1,2021-12-08,0
050105,6498,2,2021-11-02,0
050105,6498,4,2021-05-15,1
050110,27256,1,2021-05-31,0
050110,27256,5,2021-06-27,0
050110,27256,10,2021-09-12,0
050153,11541,3,2021-02-17,0
050153,11541,45,2021-01-03,0
050153,11541,90,2021-04-28,0
050173,103554,9,2021-03-28,1
050173,103554,19,2021-03-27,0
050173,103554,38,2021-09-20,0
050178,6516,3,2021-08-30,1
050178,6516,18,2021-07-22,0
050178,6516,36,2021-01-05,0
050181,104092,10,2021-10-25,1
050181,104092,62,2021-03-12,0
050181,104092,124,2021-12-21,0
050193,179208,17,2021-08-12,0
050193,179208,52,2021-09-18,0
050193,179208,104,2021-02-14,1
050194,106952,23,2021-12-14,0
050194,106952,94,2021-04-23,0
050194,106952,188,2021-06-29,0
050202,106952,10,2021-12-10,1
050202,106952,40,2021-06-04,0
050202,106952,80,2021-03-03,0
050205,77242,7,2021-08-10,0
050205,77242,14,2021-10-25,0
050205,77242,28,2021-03-30,0
050208,45856,8,2021-03-28,0
050208,45856,70,2021-01-31,0
050208,45856,140,2021-08-28,0
050209,15015,6,2021-02-23,0
050209,15015,23,2021-06-27,0
050209,15015,46,2021-03-12,0
050223,6498,1,2021-03-26,0
050223,6498,2,2021-08-24,0
050223,6498,4,2021-11-01,1
050226,6498,1,2021-01-10,0
050226,6498,2,2021-03-17,0
050226,6498,5,2021-01-03,0
050227,18691,2,2021-09-17,0
050227,18691,5,2021-01-03,0
050227,18691,10,2021-04-30,0
050228,86821,3,2021-10-24,0
050228,86821,7,2021-06-30,0
050228,86821,15,2021-04-06,0
050230,6332,2,2021-03-02,0
050230,6332,6,2021-02-16,0
050230,6332,12,2021-09-25,0
050233,6516,2,2021-07-11,0
050233,6516,11,2021-05-12,0
050233,6516,22,2021-09-17,1
050239,179208,31,2021-12-24,1
050239,179208,92,2021-04-02,1
050239,179208,184,2021-02-05,0
050250,34772,5,2021-11-10,0
050250,34772,14,2021-10-04,0
050250,34772,28,2021-01-12,0
050258,6498,1,2021-10-07,1
050258,6498,2,2021-08-10,0
050258,6498,4,2021-10-09,0
050263,32141,9,2021-05-06,1
050263,32141,155,2021-02-10,0
050263,32141,310,2021-08-02,1
050266,179208,16,2021-05-22,0
050266,179208,32,2021-05-21,0
050266,179208,65,2021-05-25,0
050272,86821,3,2021-05-07,1
050272,86821,7,2021-12-15,1
050272,86821,15,2021-06-24,0
050281,104092,96,2021-10-21,0
050281,104092,577,2021-09-21,0
050281,104092,1154,2021-11-27,0
050288,6498,1,2021-01-26,0
050288,6498,1,2021-07-27,0
050288,6498,2,2021-07-19,0
050289,77242,7,2021-02-04,0
050289,77242,15,2021-06-14,0
050289,77242,30,2021-11-07,1
050299,179208,21,2021-01-16,0
050299,179208,42,2021-04-17,0
050299,179208,85,2021-04-26,1
050302,12592,3,2021-05-08,0
050302,12592,44,2021-02-17,0
050302,12592,88,2021-06-23,0
050316,6498,1,2021-10-09,0
050316,6498,2,2021-12-05,0
050316,6498,4,2021-10-19,0
050317,179208,16,2021-09-14,0
050317,179208,33,2021-10-10,0
050317,179208,66,2021-01-16,1
050323,179208,6,2021-10-15,0
050323,179208,12,2021-04-22,1
050323,179208,25,2021-06-27,0
050325,6557,3,2021-07-23,0
050325,6557,32,2021-12-25,0
050325,6557,64,2021-03-12,0
050354,103554,9,2021-02-12,1
050354,103554,19,2021-09-20,0
050354,103554,38,2021-06-06,1
050415,179208,11,2021-01-21,1
050415,179208,34,2021-08-24,0
050415,179208,68,2021-03-27,0
050429,179208,17,2021-05-07,0
050429,179208,34,2021-09-19,0
050429,179208,68,2021-04-04,0
050442,8416,4,2021-10-08,1
050442,8416,14,2021-02-22,1
050442,8416,28,2021-01-22,0
050454,6498,1,2021-12-24,0
050454,6498,2,2021-08-26,1
050454,6498,4,2021-07-09,0
050468,6516,1,2021-04-14,0
050468,6516,8,2021-08-23,0
050468,6516,16,2021-07-26,0
050469,12881,2,2021-08-31,0
050469,12881,4,2021-01-25,0
050469,12881,9,2021-03-25,0
050489,6498,1,2021-11-17,0
050489,6498,3,2021-11-02,0
050489,6498,6,2021-09-20,0
050497,102669,8,2021-01-10,1
050497,102669,26,2021-06-27,0
050497,102669,52,2021-06-19,0
050498,52115,6,2021-06-28,0
050498,52115,13,2021-05-07,0
050498,52115,26,2021-10-16,0
050501,6332,2,2021-04-17,0
050501,6332,7,2021-06-06,0
050501,6332,14,2021-08-12,0
050529,6498,1,2021-01-31,0
050529,6498,1,2021-08-15,1
050529,6498,2,2021-08-09,0
050534,6498,1,2021-11-28,0
050534,6498,2,2021-03-16,0
050534,6498,4,2021-04-18,0
050568,179208,7,2021-11-18,0
050568,179208,14,2021-02-15,1
050568,179208,29,2021-07-16,0
050571,39310,7,2021-01-15,0
050571,39310,35,2021-08-04,0
050571,39310,70,2021-08-29,1
050574,6516,3,2021-03-09,0
050574,6516,18,2021-08-18,0
050574,6516,36,2021-03-17,0
050576,8416,4,2021-09-06,0
050576,8416,15,2021-07-08,0
050576,8416,30,2021-01-08,0
050594,40323,4,2021-01-31,0
050594,40323,14,2021-08-23,0
050594,40323,28,2021-10-01,0
050595,106952,11,2021-11-17,0
050595,106952,46,2021-08-31,0
050595,106952,92,2021-01-26,0
050610,86821,4,2021-07-18,0
050610,86821,8,2021-05-24,1
050610,86821,16,2021-11-19,1
050611,18691,2,2021-09-25,0
050611,18691,5,2021-08-09,0
050611,18691,10,2021-03-22,0
050631,33640,4,2021-01-20,1
050631,33640,12,2021-08-25,0
050631,33640,24,2021-06-13,0
050636,27256,1,2021-01-18,0
050636,27256,5,2021-07-13,0
050636,27256,10,2021-09-26,0
050640,26391,4,2021-12-09,0
050640,26391,35,2021-01-09,1
050640,26391,70,2021-10-17,0
050645,6516,2,2021-06-18,0
050645,6516,11,2021-08-28,0
050645,6516,22,2021-09-25,0
050647,6498,1,2021-05-11,0
050647,6498,2,2021-12-23,0
050647,6498,4,2021-09-18,0
050650,52115,6,2021-01-18,1
050650,52115,12,2021-04-30,0
050650,52115,24,2021-11-01,1
050662,179208,27,2021-03-20,0
050662,179208,54,2021-01-06,0
050662,179208,108,2021-06-06,0
050663,81204,8,2021-09-08,1
050663,81204,17,2021-03-28,1
050663,81204,34,2021-08-10,0
050666,7149,1,2021-12-07,0
050666,7149,3,2021-01-22,0
050666,7149,7,2021-09-24,0
050668,6498,1,2021-10-15,0
050668,6498,1,2021-11-27,0
050668,6498,3,2021-11-18,0
050673,179208,15,2021-07-15,1
050673,179208,31,2021-10-26,0
050673,179208,62,2021-02-01,0
050675,27256,2,2021-04-05,1
050675,27256,7,2021-02-01,0
050675,27256,14,2021-04-01,0
050691,109155,26,2021-03-01,0
050691,109155,183,2021-01-14,0
050691,109155,366,2021-12-24,0
050696,27256,1,2021-10-17,0
050696,27256,3,2021-01-28,0
050696,27256,6,2021-12-15,1
050701,29252,4,2021-12-06,0
050701,29252,11,2021-04-08,0
050701,29252,22,2021-05-01,0
050711,33644,5,2021-09-20,0
050711,33644,38,2021-06-20,0
050711,33644,76,2021-07-23,0
050713,8416,3,2021-12-30,0
050713,8416,20,2021-10-29,1
